Week,Dates,Platform,Pillar,Title,Hook,Storyboard,Caption,Hashtags,CTA,Status,Views,Saves,LinkClicks,Notes
Неделя 1,1-7 июля,TikTok/Reels,01 Продукт,"Вот как выглядит плей-офф ЧМ — если бы его считал не FIFA, а ты","ЧМ генерирует сетку плей-офф... а твой турнир как?","Создаёшь турнир в Tournable → выбираешь формат «плей-офф» → вводишь команды → сетка строится автоматически → быстрый проход по сетке","Сетка плей-офф — 10 секунд, не полдня в экселе. Ссылка в шапке.",#чемпионатмира2026 #турнир #tournableapp #плейофф,Шапка профиля,Идея,,,,
Неделя 1,1-7 июля,TikTok,03 Боль организатора,ПОВ: ты ответственный за турнирную таблицу в дворовом чате,"ПОВ: тебя назначили вести таблицу турнира» + растерянное лицо","Фото рукописной таблицы на листке → зум на зачёркивания → кто-то в чате пишет «а почему у нас 4 очка а не 6» → ты молча закрываешь эксель → жёсткий рез → показываешь Tournable: таблица сама пересчиталась после матча","Знакомо? Один раз попробуй по-другому.",#дворовыйфутбол #футбол #турнир #tournableapp,Закреплённый комментарий,Идея,,,,
Неделя 1,1-7 июля,TikTok/Reels,01 Продукт,Пока ты бьёшь пенальти — счёт уже обновился у всех зрителей,На ЧМ есть табло. У твоего дворового турнира — тоже может быть,Телефон в руке на поле → открываешь live-табло → вбиваешь гол → сплит-скрин: у зрителя в телефоне счёт меняется в реальном времени,Live-табло без единого приложения для зрителей — просто ссылка.,#footballtiktok #liveфутбол #tournableapp,Шапка профиля,Идея,,,,
Неделя 1,1-7 июля,Instagram Carousel,02 Момент ЧМ,"Почему на ЧМ 48 команд, а в плей-офф выходят не все","Групповой этап vs плей-офф — за 30 секунд","3-4 слайда — группы распределяют команды → лучшие выходят дальше → плей-офф на вылет → «мы автоматизировали именно эту логику — для 4 команд или для 48»","Формат «Группы + плей-офф» — один из форматов Tournable. Работает для любого числа команд.",#worldcup2026 #турнир #объяснение,,Идея,,,,Можно сделать voiceover-роликом вместо carousel
Неделя 1,1-7 июля,TikTok/Threads,04 Founder,"Я сделал этот сервис, потому что задолбался считать турнир в вотсапе",Год назад я организовывал дворовый турнир и понял одну вещь,"30-45 сек прямо на камеру — история, почему начал делать Tournable, что бесило в старом способе","Так появился Tournable. Бесплатно, 1 турнир — на попробовать.",#buildinpublic #стартап #tournableapp,,Идея,,,,
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: реакция на сетку,"1/8 финала ЧМ вдохновляет на сетку? Твой дворовый турнир заслуживает такую же — генерируется в Tournable за секунды.",,,,,Идея,,,,Текстовый пост без видео
Неделя 1,1-7 июля,Threads,03 Боль организатора,Threads: опрос про способ учёта,"Как вы сейчас считаете турнирную таблицу? Эксель / скрины в вотсапе / бумага / никак",,,,,Идея,,,,Опрос
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: реакция на матч 1/8,"Драма на вылет — то, ради чего смотрим плей-офф. У твоего турнира такая же может быть.",,,,,Идея,,,,Публиковать в день реального матча
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: прогноз,Прогноз на плей-офф ЧМ? Пишите в комментарии.,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,02 Момент ЧМ,Stories: обратный отсчёт,Обратный отсчёт до ближайшего матча плей-офф,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,02 Момент ЧМ,Stories: опрос четвертьфинал,Опрос «кто выйдет в четвертьфинал»,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,04 Founder,Stories: прогресс разработки,Скриншот прогресса разработки (что чинили/добавили на этой неделе),,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,01 Продукт,Stories: GIF лимита,Быстрый GIF: как выглядит уведомление о лимите бесплатного тарифа,,,,,Идея,,,,
Неделя 2,8-11 июля,TikTok/Reels,02 Момент ЧМ,"Четвертьфинал — момент истины. У твоего турнира тоже должен быть такой момент",Осталось 8 команд. Дальше — только на вылет,"Кадры напряжения (крупный план табло счёта, отсчёт) → разворот: «твой финал может случиться уже через месяц — не через 4 года»",Запусти турнир сегодня — свой финал увидишь раньше, чем следующий ЧМ.,#чемпионатмира2026 #четвертьфинал #tournableapp,,Идея,,,,
Неделя 2,8-11 июля,TikTok/Reels,01 Продукт,"От 0 до готового расписания турнира — 1 минута, без ускорения",Без ускорения. Смотри на таймер в углу,"Реальное время создания турнира от старта до готового расписания, таймер в углу экрана, темп монтажа — «залипательный» (satisfying pacing, никакого лишнего текста)","1 минута — не маркетинговая цифра, это реальное время на видео.",#satisfying #турнир #tournableapp,,Идея,,,,
